,Unnamed: 0,Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime,cumsum_ClimbRate,alt_norm
1244,19135,Mon 08:53:55 AM,52.2552,4.7741,↑ 3°,121.0,139.0,650,-703.0,FlightAware ADS-B (LEY / EHLE),Arrivals,HOP1740,2025-03-24 14:11:45,4834.0,0.18287225386493083
1245,19136,Mon 08:54:11 AM,52.2644,4.7749,↑ 3°,119.0,137.0,450,-609.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,4225.0,0.17724129003624528
1246,19137,Mon 08:54:27 AM,52.2727,4.7756,↑ 3°,124.0,143.0,325,-609.0,FlightAware ADS-B (EHHV),Arrivals,HOP1740,2025-03-24 14:11:45,3616.0,0.17161032620755973
1247,19138,Mon 08:54:43 AM,52.2813,4.7764,↑ 4°,118.0,136.0,125,-703.0,FlightAware ADS-B (EHSE),Arrivals,HOP1740,2025-03-24 14:11:45,2913.0,0.16511021525260744
1248,19139,Mon 08:54:59 AM,52.2901,4.7773,↑ 3°,119.0,137.0,,-656.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,2257.0,0.15904467786078852
1249,19140,Mon 07:15:08 AM,43.4507,5.1949,← 313°,157.0,181.0,650,0.0,FlightAware ADS-B (LFNR),Arrivals,KLM1466,2025-03-24 14:11:45,0.0,0.13817590058436274
1250,19141,Mon 07:15:24 AM,43.4592,5.1827,← 314°,172.0,198.0,"1,100",1969.0,FlightAware ADS-B (CTT / LFMQ),Arrivals,KLM1466,2025-03-24 14:11:45,1969.0,0.15638175900584364
1251,19142,Mon 07:15:40 AM,43.4674,5.171,← 315°,173.0,199.0,"1,700",2700.0,FlightAware ADS-B (LFMA),Arrivals,KLM1466,2025-03-24 14:11:45,4669.0,0.181346623270952
1252,19143,Mon 07:15:59 AM,43.4793,5.1546,← 314°,175.0,201.0,"2,675",2388.0,FlightAware ADS-B (LFNR),Arrivals,KLM1466,2025-03-24 14:11:45,7057.0,0.20342665877653673
1253,19144,Mon 07:16:29 AM,43.4963,5.1304,← 315°,204.0,235.0,"3,650",1775.0,FlightAware ADS-B (MRS / LFML),Arrivals,KLM1466,2025-03-24 14:11:45,8832.0,0.21983874546933946
1254,19145,Mon 07:16:59 AM,43.5186,5.0991,← 314°,251.0,289.0,"4,450",1793.0,FlightAware ADS-B (LFMA),Arrivals,KLM1466,2025-03-24 14:11:45,10625.0,0.23641726459057621
1255,19146,Mon 07:17:15 AM,43.5326,5.0791,← 314°,272.0,313.0,"5,025",2791.0,FlightAware ADS-B (LFMA),Arrivals,KLM1466,2025-03-24 14:11:45,13416.0,0.262223537243879
1256,19147,Mon 07:17:42 AM,43.5564,5.0451,↖ 318°,283.0,326.0,"6,450",3267.0,FlightAware ADS-B (BZR / LFMU),Arrivals,KLM1466,2025-03-24 14:11:45,16683.0,0.2924310230046601
1257,19148,Mon 07:18:00 AM,43.5768,5.0274,↖ 335°,286.0,329.0,"7,475",3441.0,FlightAware ADS-B (MRS / LFML),Arrivals,KLM1466,2025-03-24 14:11:45,20124.0,0.3242473555736371
1258,19149,Mon 07:18:16 AM,43.5967,5.0196,↑ 349°,287.0,330.0,"8,400",3270.0,FlightAware ADS-B (LFMA),Arrivals,KLM1466,2025-03-24 14:11:45,23394.0,0.35448258007249056
1259,19150,Mon 07:19:01 AM,43.6561,5.0068,↑ 351°,300.0,345.0,"10,800",2980.0,FlightAware ADS-B (LFMA),Arrivals,KLM1466,2025-03-24 14:11:45,26374.0,0.3820363932243509
1260,19151,Mon 07:19:31 AM,43.6987,4.9972,↑ 350°,317.0,365.0,"12,125",2800.0,FlightAware ADS-B (MRS / LFML),Arrivals,KLM1466,2025-03-24 14:11:45,29174.0,0.4079258820918707
1261,19152,Mon 07:20:01 AM,43.7424,4.9869,↑ 350°,331.0,381.0,"13,600",3075.0,FlightAware ADS-B (LFMC),Arrivals,KLM1466,2025-03-24 14:11:45,32249.0,0.4363580886160219
1262,19153,Mon 07:20:31 AM,43.7912,4.9755,↑ 350°,343.0,395.0,"15,200",3225.0,FlightAware ADS-B (LFNR),Arrivals,KLM1466,2025-03-24 14:11:45,35474.0,0.46617723204379025
1263,19154,Mon 07:21:01 AM,43.8388,4.9642,↑ 350°,350.0,403.0,"16,825",3175.0,FlightAware ADS-B (LFNR),Arrivals,KLM1466,2025-03-24 14:11:45,38649.0,0.4955340631703528
1264,19155,Mon 07:21:31 AM,43.8865,4.9529,↑ 350°,357.0,411.0,"18,375",2975.0,FlightAware ADS-B (LFNG),Arrivals,KLM1466,2025-03-24 14:11:45,41624.0,0.5230416450920926
1265,19156,Mon 07:22:01 AM,43.9351,4.9413,↑ 350°,364.0,419.0,"19,800",2850.0,FlightAware ADS-B (MRS / LFML),Arrivals,KLM1466,2025-03-24 14:11:45,44474.0,0.5493934462608181
1266,19157,Mon 07:22:31 AM,43.9877,4.9288,↑ 351°,374.0,430.0,"21,225",2750.0,FlightAware ADS-B (LFNR),Arrivals,KLM1466,2025-03-24 14:11:45,47224.0,0.5748206228271322
1267,19158,Mon 07:23:01 AM,44.0379,4.9169,↑ 350°,379.0,436.0,"22,550",2600.0,FlightAware ADS-B (LYN / LFLY),Arrivals,KLM1466,2025-03-24 14:11:45,49824.0,0.5988608624898292
1268,19159,Mon 07:23:31 AM,44.0906,4.9044,↑ 350°,388.0,447.0,"23,825",2275.0,FlightAware ADS-B (LYN / LFLY),Arrivals,KLM1466,2025-03-24 14:11:45,52099.0,0.619896072194689
1269,19160,Mon 07:24:01 AM,44.145,4.8916,↑ 350°,396.0,456.0,"24,825",2225.0,FlightAware ADS-B (LFLM),Arrivals,KLM1466,2025-03-24 14:11:45,54324.0,0.6404689695983431
1270,19161,Mon 07:24:31 AM,44.1986,4.8788,↑ 350°,400.0,460.0,"26,050",2425.0,FlightAware ADS-B (LFNR),Arrivals,KLM1466,2025-03-24 14:11:45,56749.0,0.6628911162068201
